US,Montclair (NJ),Montclair State,https://github.com/MontclairState
US,Nashville (TN),Nashville Public Library,https://github.com/Nashville-Public-Library
US,Nashville (TN),Vanderbilt University Library,https://github.com/HeardLibrary
US,New Haven (CT),Yale University Library official repository,https://github.com/yalelibrary
US,New Haven (CT),Manuscripts and Archives at Yale University Library,https://github.com/yalemssa
US,New Haven (CT),Beinecke Rare Book & Manuscript Library at Yale University,https://github.com/brbl-yale
US,New Lonnox (IL),New Lenox Public Library,https://github.com/newlenoxlibrary
US,New Orleans (LA),Tulane Howard-Tilton Memorial Library,https://github.com/Howard-Tilton-Library
US,New York (NY),Columbia University Libraries,https://github.com/cul
US,New York (NY),The New York Public Library,https://github.com/nypl
US,New York (NY),The New York Public Library - Open Audio Weekend,https://github.com/nypl-openaudio
US,New York (NY),The New York Public Library - Public Domain,https://github.com/NYPL-publicdomain
US,New York (NY),The New York Public Library - NYC Space/Time Directory,https://github.com/nypl-spacetime
US,New York (NY),NYU Libraries,https://github.com/NYULibraries
US,Newport Beach (CA),Newport Beach Public Library,https://github.com/NBPLwebsite
US,Norfolk (VA),Web Science and Digital Libraries Research Group at Old Dominion University,https://github.com/oduwsdl
US,Northbrook (IL),Northbrook Public Library,https://github.com/northbrooklibrary
US,Northampton (MA),The public library for Northampton,https://github.com/forbeslibrary
US,Notre Dame (IN),University of Notre Dame Hesburgh Libraries,https://github.com/ndlib
US,Notre Dame (IN),University of Notre Dame Hesburgh Libraries - the CORAL stuff,https://github.com/ndlibersa
US,O'Fallon,O'Fallon Public Library,https://github.com/OFallonPublicLibrary
US,Oakland (CA),California Digital Library,https://github.com/cdlib
US,Oakland (CA),Calisphere - University of California Libraries Digital Collections Project,https://github.com/ucldc
US,Oakland (CA),Oakland Public Library,https://github.com/oakland-public-library
US,Philadelphia (PA),Temple University Libraries,https://github.com/tulibraries
US,Pittsburgh (PA),Carnegie Mellon University Libraries,https://github.com/cmu-lib
US,Pittsburgh (PA),Digital Scholarship Services at the Pitt University Library System,https://github.com/DSSatPitt
US,Pittsburgh (PA),Health Sciences Library System at University of Pittsburgh,https://github.com/pitthsls
US,Pittsburgh (PA),Metadata and Discovery Unit - University Library System - University of Pittsburgh,https://github.com/uls-mad
US,Pittsburgh (PA),University of Pittsburgh Library System,https://github.com/ulsdevteam
US,Portland (OR),Portland State University Library,https://github.com/pdxlibrary
US,Princeton (NJ),Princeton University Library,https://github.com/pulibrary
US,Princton (NJ),Princeton University Library's Cataloging Archival and Metadata Services (CAMS),https://github.com/pulcams
US,Providence (RI),Brown University Library,https://github.com/Brown-University-Library
US,Providence (RI),Providence Public Library,https://github.com/ppldev
US,Raleigh (NC),NCSU Libraries,https://github.com/NCSU-Libraries
US,Raleigh (NC),State Library of North Carolina,https://github.com/SLNC-DIMP
US,Richmond (VA),Library of Virginia,https://github.com/LibraryofVA
US,Richmond (VA),Virginia Commonwealth University Libraries,https://github.com/vculibraries
US,Rohnert Park (CA),Sonoma State University Library,https://github.com/ssu-library
US,Salem (OR),Willamette University - Hatfield Library,https://github.com/hatfieldlibrary
US,Salt Lake City (UT),University of Utah - Marriott Library - Apple Support,https://github.com/univ-of-utah-marriott-library-apple
US,San Diego (CA),San Diego State University Library,https://github.com/SDSU-Library
US,San Diego (CA),UCSD Library,https://github.com/ucsdlib
US,San Francisco / Oakland (CA),California College of the Arts,https://github.com/cca
US,San Francisco (CA),Public Library of Science (PLOS),https://github.com/PLOS
US,San Jose (CA),San Jose Public Library,https://github.com/sanjosepubliclibrary
US,San Marcos (CA),CSU San Marcos,https://github.com/csusm-library
US,San Marcos (TX),Albert B. Alkek Library - Texas State University,https://github.com/AlkekLibrary
US,Santa Cruz (CA),UCSC Library,https://github.com/UCSCLibrary
US,Saratoga Springs (NY),Saratoga Springs Public Library,https://github.com/SaratogaLibrary
US,Skokie (IL),Skokie Public Library,https://github.com/skokielibrary
US,Sleepy Hollow (NY),Rockefeller Archive Center,https://github.com/RockefellerArchiveCenter
US,Stanford (CA),Stanford University Digital Library,https://github.com/sul-dlss
US,Stanford (CA),Stanford University Libraries - Carpentries,https://github.com/StanfordLibraries-Carpentries
US,Stanford (CA),Center for Interdisciplinary Digital Research at Stanford University Libraries,https://github.com/sul-cidr
US,Stanford (CA),The LOCKSS Program at Stanford University Libraries,https://github.com/lockss
US,Starkville (MS),Mississippi State University Libraries - Digital Initiatives & Web Services,https://github.com/MSULibraries
US,Tampa (FL),University of South Florida Libraries,https://github.com/usflibraries
US,Tempe (AZ),Unit for Data Science, Hayden Library @ Arizona State University,https://github.com/UnitForDataScience
